Growth_phase,Strain,Length_px,Length
earlylog,cdrS,116.76472,15.56862933
earlylog,cdrS,36.891735,4.918898
earlylog,cdrS,60.440052,8.0586736
earlylog,cdrS,33.83785,4.511713333
earlylog,cdrS,55.97321,7.463094667
earlylog,cdrS,84.118965,11.215862
earlylog,cdrS,31.95309,4.260412
earlylog,cdrS,25.495098,3.3993464
earlylog,cdrS,55.946404,7.459520533
earlylog,cdrS,57.428215,7.657095333
earlylog,cdrS,118.70131,15.82684133
earlylog,cdrS,62.008064,8.267741867
earlylog,cdrS,53.450912,7.126788267
earlylog,cdrS,182.92348,24.38979733
earlylog,cdrS,111.28792,14.83838933
earlylog,cdrS,55.362442,7.381658933
earlylog,cdrS,49.979996,6.663999467
earlylog,cdrS,74.06078,9.874770667
earlylog,cdrS,36.359318,4.847909067
earlylog,cdrS,18.601076,2.480143467
earlylog,cdrS,141.67569,18.890092
earlylog,cdrS,50.32892,6.710522667
earlylog,cdrS,35.805027,4.7740036
earlylog,cdrS,54.405884,7.254117867
earlylog,cdrS,54.120235,7.216031333
earlylog,cdrS,18.248287,2.433104933
earlylog,cdrS,96.42095,12.85612667
earlylog,cdrS,71.063354,9.475113867
earlylog,cdrS,180.56854,24.07580533
earlylog,cdrS,27.313,3.641733333
earlylog,cdrS,78.26238,10.434984
earlylog,cdrS,172.80046,23.04006133
earlylog,cdrS,208.43465,27.79128667
earlylog,cdrS,31.622776,4.216370133
earlylog,cdrS,15.811388,2.108185067
earlylog,cdrS,61.09828,8.146437333
earlylog,cdrS,43.011627,5.7348836
earlylog,cdrS,49.47727,6.596969333
earlylog,cdrS,122.494896,16.3326528
earlylog,cdrS,86.37129,11.516172
earlylog,cdrS,44.011364,5.868181867
earlylog,cdrS,111.07205,14.80960667
earlylog,cdrS,247.25696,32.96759467
earlylog,cdrS,32.55764,4.341018667
earlylog,cdrS,70.5762,9.41016
earlylog,cdrS,17.720045,2.362672667
earlylog,cdrS,40.5216,5.40288
earlylog,cdrS,22.36068,2.981424
earlylog,cdrS,230.09781,30.679708
earlylog,cdrS,20.396078,2.719477067
earlylog,cdrS,131.03435,17.47124667
earlylog,cdrS,18.35756,2.447674667
earlylog,cdrS,23.345236,3.112698133
earlylog,cdrS,113.86395,15.18186
earlylog,cdrS,307.48334,40.99777867
earlylog,cdrS,32.75668,4.367557333
earlylog,cdrS,325.6762,43.42349333
earlylog,cdrS,152.2695,20.3026
earlylog,cdrS,117.15375,15.6205
earlylog,cdrS,53.600372,7.146716267
earlylog,cdrS,105.17129,14.02283867
earlylog,cdrS,87.0919,11.61225333
earlylog,cdrS,21.400934,2.853457867
earlylog,cdrS,39.56008,5.274677333
earlylog,cdrS,37.65634,5.020845333
earlylog,cdrS,208.90428,27.853904
earlylog,cdrS,114.62112,15.282816
earlylog,cdrS,54.708317,7.294442267
earlylog,cdrS,42.059483,5.607931067
earlylog,cdrS,261.32355,34.84314
earlylog,cdrS,40.792156,5.438954133
earlylog,cdrS,25,3.333333333
earlylog,cdrS,254.37964,33.91728533
earlylog,cdrS,57.306194,7.640825867
earlylog,cdrS,30.805843,4.107445733
earlylog,cdrS,31.320919,4.176122533
earlylog,cdrS,160.80112,21.44014933
earlylog,cdrS,13.601471,1.813529467
earlylog,cdrS,164.39586,21.919448
earlylog,cdrS,33.37664,4.450218667
earlylog,cdrS,22.472204,2.996293867
earlylog,cdrS,28.160255,3.754700667
earlylog,cdrS,178.47409,23.79654533
earlylog,cdrS,43.56604,5.808805333
earlylog,cdrS,58.137768,7.7517024
earlylog,cdrS,39.115215,5.215362
earlylog,cdrS,62.361847,8.314912933
earlylog,cdrS,59.093147,7.879086267
earlylog,cdrS,48.010414,6.401388533
earlylog,cdrS,137.87675,18.38356667
earlylog,cdrS,108.16654,14.42220533
earlylog,cdrS,30.88689,4.118252
earlylog,cdrS,27.294687,3.6392916
earlylog,cdrS,67.95587,9.060782667
earlylog,cdrS,271.64868,36.219824
earlylog,cdrS,50.289165,6.705222
earlylog,cdrS,29.966648,3.995553067
earlylog,cdrS,128.31601,17.10880133
earlylog,cdrS,108.81177,14.508236
earlylog,cdrS,22.803509,3.040467867
earlylog,cdrS,40.36087,5.381449333
earlylog,cdrS,156.46725,20.8623
earlylog,cdrS,55.226807,7.363574267
earlylog,cdrS,121.16518,16.15535733
earlylog,cdrS,124.80785,16.64104667
earlylog,cdrS,73.60027,9.813369333
earlylog,cdrS,75.16648,10.02219733
earlylog,cdrS,175.14566,23.35275467
earlylog,cdrS,53.851646,7.180219467
earlylog,cdrS,28.79236,3.838981333
earlylog,cdrS,47.507893,6.334385733
earlylog,cdrS,65.192024,8.692269867
earlylog,cdrS,99.724625,13.29661667
earlylog,cdrS,64.12488,8.549984
earlylog,cdrS,270.28317,36.037756
earlylog,cdrS,111.40018,14.85335733
earlylog,cdrS,85.2115,11.36153333
earlylog,cdrS,179.01117,23.868156
earlylog,cdrS,139.03236,18.537648
earlylog,cdrS,164.53874,21.93849867
earlylog,cdrS,50.803543,6.773805733
earlylog,cdrS,54.644306,7.285907467
earlylog,cdrS,353.7259,47.16345333
earlylog,cdrS,39.446167,5.259488933
earlylog,cdrS,134.37262,17.91634933
