Growth_phase,Strain,Area_px,Area
earlylog,cdrS,342.125,6.082222222
earlylog,cdrS,482.5,8.577777778
earlylog,cdrS,543.375,9.66
earlylog,cdrS,1094.25,19.45333333
earlylog,cdrS,527.125,9.371111111
earlylog,cdrS,458.875,8.157777778
earlylog,cdrS,1622.125,28.83777778
earlylog,cdrS,759,13.49333333
earlylog,cdrS,138.25,2.457777778
earlylog,cdrS,517.375,9.197777778
earlylog,cdrS,740.125,13.15777778
earlylog,cdrS,279.5,4.968888889
earlylog,cdrS,155.5,2.764444444
earlylog,cdrS,1106.375,19.66888889
earlylog,cdrS,504.125,8.962222222
earlylog,cdrS,154.875,2.753333333
earlylog,cdrS,504.125,8.962222222
earlylog,cdrS,567.125,10.08222222
earlylog,cdrS,161.875,2.877777778
earlylog,cdrS,796.5,14.16
earlylog,cdrS,625,11.11111111
earlylog,cdrS,1634.375,29.05555556
earlylog,cdrS,352.75,6.271111111
earlylog,cdrS,679.5,12.08
earlylog,cdrS,1633.875,29.04666667
earlylog,cdrS,1188.125,21.12222222
earlylog,cdrS,121.375,2.157777778
earlylog,cdrS,112.875,2.006666667
earlylog,cdrS,428.25,7.613333333
earlylog,cdrS,370,6.577777778
earlylog,cdrS,467.5,8.311111111
earlylog,cdrS,1062.875,18.89555556
earlylog,cdrS,499.875,8.886666667
earlylog,cdrS,358.5,6.373333333
earlylog,cdrS,794.625,14.12666667
earlylog,cdrS,2020.125,35.91333333
earlylog,cdrS,311.375,5.535555556
earlylog,cdrS,527.75,9.382222222
earlylog,cdrS,141.75,2.52
earlylog,cdrS,293.375,5.215555556
earlylog,cdrS,168.125,2.988888889
earlylog,cdrS,1787.25,31.77333333
earlylog,cdrS,168.875,3.002222222
earlylog,cdrS,873.875,15.53555556
earlylog,cdrS,113.375,2.015555556
earlylog,cdrS,183.625,3.264444444
earlylog,cdrS,842.125,14.97111111
earlylog,cdrS,2506.375,44.55777778
earlylog,cdrS,264,4.693333333
earlylog,cdrS,5066.375,90.06888889
earlylog,cdrS,1173.125,20.85555556
earlylog,cdrS,992.875,17.65111111
earlylog,cdrS,323.75,5.755555556
earlylog,cdrS,1025.625,18.23333333
earlylog,cdrS,711.5,12.64888889
earlylog,cdrS,117.5,2.088888889
earlylog,cdrS,530.875,9.437777778
earlylog,cdrS,184,3.271111111
earlylog,cdrS,2523.875,44.86888889
