Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,A,327.5,0.91258115,24.916502,5.822222222,3.322200267
20170601,-5,EV,A,213.0625,0.9046197,19.234608,3.787777778,2.5646144
20170601,-5,EV,B,426.6953,0.98887914,25.179976,7.585694222,3.357330133
20170601,-5,EV,B,306.6289,0.91967326,24.408941,5.451180444,3.254525467
20170601,-5,EV,B,296.25,0.99158335,20.086466,5.266666667,2.678195467
20170601,-5,EV,B,313.9375,0.9815685,21.854868,5.581111111,2.9139824
20170601,-5,EV,B,215.45312,0.979419,18.144411,3.830277689,2.4192548
20170601,-5,EV,B,192.6875,0.9432119,18.37347,3.425555556,2.449796
20170601,-5,EV,B,192.39844,0.9863229,16.89713,3.420416711,2.252950667
20170601,-5,EV,B,198.6875,0.94796294,19.041796,3.532222222,2.538906133
20170601,-5,EV,B,202.61719,0.9246452,19.848324,3.602083378,2.6464432
20170601,-5,EV,B,247.95312,0.9801852,19.120829,4.408055467,2.549443867
20170601,-5,EV,B,242.71875,0.9733527,18.995193,4.315,2.5326924
20170601,-5,EV,B,191.3125,0.97707695,16.877382,3.401111111,2.2503176
20170601,-5,EV,B,162.45312,0.9681181,16.58776,2.888055467,2.211701333
20170601,-5,EV,B,128.28125,0.9922584,13.379813,2.280555556,1.783975067
20170601,-5,EV,B,299.85938,0.97496265,21.821901,5.330833422,2.9095868
20170601,-5,EV,B,218.28418,0.9891511,17.765373,3.880607644,2.3687164
20170601,-5,EV,B,180.27344,0.9773088,16.819916,3.204861156,2.242655467
20170601,-5,EV,B,306.91602,0.90027946,23.990856,5.4562848,3.1987808
20170601,-5,EV,B,233.35938,0.9819179,18.702913,4.1486112,2.493721733
20170601,-5,EV,B,224.125,0.9728222,18.996006,3.984444444,2.5328008
20170601,-5,EV,B,137.13672,0.9554851,15.5461855,2.437986133,2.072824733
20170601,-5,EV,B,147.32031,0.97591245,15.446269,2.619027733,2.059502533
20170601,-5,EV,B,247.60156,0.805882,25.867529,4.401805511,3.449003867
20170601,-5,EV,B,83.59375,0.966192,11.688006,1.486111111,1.5584008
20170601,-5,EV,B,226.625,0.99115646,17.72777,4.028888889,2.363702667
20170601,-5,EV,B,258.125,0.9638298,20.989943,4.588888889,2.798659067
20170601,-5,EV,B,258.17188,0.94077426,21.666077,4.589722311,2.888810267
20170601,-5,EV,B,252.78125,0.9862858,19.03597,4.493888889,2.538129333
20170601,-5,EV,B,279.45312,0.98625356,19.648087,4.968055467,2.619744933
20170601,-5,EV,B,352.03125,0.9863662,21.782486,6.258333333,2.904331467
20170601,-5,EV,B,167.28125,0.990375,14.972599,2.973888889,1.996346533
20170601,-5,EV,B,96.03906,0.9927268,11.576614,1.707361067,1.543548533
20170601,-5,EV,B,176.6582,0.9700399,16.928013,3.140590222,2.2570684
20170601,-5,EV,B,187.77344,0.9887772,16.536594,3.338194489,2.2048792
20170601,-5,EV,B,191.32812,0.9871866,16.921862,3.4013888,2.256248267
20170601,-5,EV,B,316.75,0.98196524,21.633549,5.631111111,2.8844732
20170601,-5,EV,B,292.49316,0.9732252,21.238802,5.1998784,2.831840267
20170601,-5,EV,B,156.90625,0.98284036,15.5124035,2.789444444,2.068320467
20170601,-5,EV,B,284.2422,0.97106624,20.481615,5.053194667,2.730882
20170601,-5,EV,B,233.57031,0.98358876,18.920649,4.152361067,2.5227532
20170601,-5,EV,B,161.89648,0.98305374,15.6618395,2.878159644,2.088245267
20170601,-5,EV,B,201.70312,0.98807067,16.815012,3.585833244,2.2420016
20170601,-5,EV,B,204.85156,0.99061483,16.992641,3.641805511,2.265685467
20170601,-5,EV,B,144.9375,0.9902847,14.435053,2.576666667,1.924673733
20170601,-5,EV,B,258.65625,0.97940123,19.24176,4.598333333,2.565568
20170601,-5,EV,B,120.08594,0.9879895,13.240433,2.134861156,1.765391067
20170601,-5,EV,B,134.8125,0.97899944,14.631001,2.396666667,1.950800133
20170601,-5,EV,B,118.0625,0.99323344,12.473925,2.098888889,1.66319
20170601,-5,EV,B,128.25,0.98977816,13.4990225,2.28,1.799869667
20170601,-5,EV,B,219.9375,0.95504826,19.141687,3.91,2.552224933
20170601,-5,EV,B,269,0.99096984,19.125294,4.782222222,2.5500392
20170601,-5,EV,B,158.32547,0.97892755,14.761052,2.814675022,1.968140267
20170601,-5,EV,B,180.86035,0.98344064,16.587103,3.215295111,2.211613733
20170601,-5,EV,B,341.0078,0.9475725,23.45326,6.062360889,3.127101333
20170601,-5,EV,B,157.27344,0.99154496,14.553489,2.795972267,1.9404652
20170601,-5,EV,B,177.57812,0.9858096,16.393822,3.156944356,2.185842933
20170601,-5,EV,B,264.15625,0.98416644,19.50436,4.696111111,2.600581333
20170601,-5,EV,B,395.71875,0.88211364,27.087835,7.035,3.611711333
20170601,-5,EV,B,250.625,0.911595,21.30073,4.455555556,2.840097333
20170601,-5,EV,B,449.34375,0.9496695,25.69834,7.988333333,3.426445333
20170601,-5,EV,B,387.09375,0.95850605,23.422125,6.881666667,3.12295
20170601,-5,EV,B,222.96484,0.9936011,17.400555,3.963819378,2.320074
20170601,-5,EV,B,320.98438,0.96785265,22.115532,5.706388978,2.9487376
20170601,-5,EV,B,236.19531,0.97074556,19.522238,4.199027733,2.602965067
20170601,-5,EV,B,172.58301,0.98967046,15.71863,3.0681424,2.095817333
20170601,-5,EV,B,260.89062,0.9885524,19.351246,4.638055467,2.580166133
20170601,-5,EV,B,187.14453,0.98940057,15.841833,3.327013867,2.1122444
20170601,-5,EV,B,229.59375,0.9776883,19.031132,4.081666667,2.537484267
20170601,-5,EV,B,225.21875,0.95454735,20.04098,4.003888889,2.672130667
20170601,-5,EV,B,206.34375,0.9819781,17.585033,3.668333333,2.344671067
20170601,-5,EV,B,120.31641,0.98912615,13.089952,2.1389584,1.745326933
20170601,-5,EV,B,150.15625,0.9832745,15.275394,2.669444444,2.0367192
20170601,-5,EV,B,175.13184,0.99340975,15.346936,3.113454933,2.046258133
20170601,-5,EV,B,210.76465,0.98090404,17.715885,3.746927111,2.362118
20170601,-5,EV,B,184.77344,0.963209,17.900608,3.284861156,2.386747733
20170601,-5,EV,B,215.19922,0.9869214,17.21291,3.825763911,2.295054667
20170601,-5,EV,B,299.0703,0.9339131,23.289583,5.316805333,3.105277733
20170601,-5,EV,B,231.0625,0.94777894,20.035988,4.107777778,2.671465067
20170601,-5,EV,B,181.00781,0.98410326,16.166224,3.217916622,2.155496533
20170601,-5,EV,B,145.57031,0.9924514,14.235068,2.587916622,1.898009067
20170601,-5,EV,B,199.71875,0.98169976,17.76576,3.550555556,2.368768
20170601,-5,EV,B,301.8125,0.9886981,20.79328,5.365555556,2.772437333
20170601,-5,EV,B,131.16406,0.9943219,13.378382,2.331805511,1.783784267
20170601,-5,EV,B,102.40625,0.95920074,13.134152,1.820555556,1.751220267
