Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3A,2269.379,5.6734475,127.80063,6.3900315
ura3,ura3A,1802.5703,4.50642575,95.35198,4.767599
ura3,ura3A,3410.9688,8.527422,196.4001,9.820005
ura3,ura3A,1757.8192,4.394548,132.40091,6.6200455
ura3,ura3A,2456.1016,6.140254,155.36087,7.7680435
ura3,ura3A,4636.0312,11.590078,229.98479,11.4992395
ura3,ura3A,875.25,2.188125,35.124554,1.7562277
ura3,ura3A,639.3125,1.59828125,38.83778,1.941889
ura3,ura3A,2136.3633,5.34090825,126.50692,6.325346
ura3,ura3A,1275.2988,3.188247,95.29428,4.764714
ura3,ura3A,2496.1562,6.2403905,164.78471,8.2392355
ura3,ura3A,1690.6602,4.2266505,126.1943,6.309715
ura3,ura3A,5440.703,13.6017575,326.84094,16.342047
ura3,ura3A,1804.7031,4.51175775,84.59315,4.2296575
ura3,ura3A,2138.7383,5.34684575,136.06248,6.803124
ura3,ura3A,1173.2812,2.933203,98.73702,4.936851
ura3,ura3A,3740.4219,9.35105475,216.53868,10.826934
ura3,ura3A,2599.3125,6.49828125,138.463,6.92315
ura3,ura3A,5914.4375,14.78609375,280.2231,14.011155
ura3,ura3A,2518.0625,6.29515625,145.5154,7.27577
ura3,ura3A,2159.2812,5.398203,126.75168,6.337584
ura3,ura3A,5525.7334,13.8143335,288.1406,14.40703
ura3,ura3A,1279.75,3.199375,46.238514,2.3119257
ura3,ura3A,4959.9062,12.3997655,294.0068,14.70034
ura3,ura3A,2211.9502,5.5298755,129.31357,6.4656785
ura3,ura3A,2681.6094,6.7040235,126.43575,6.3217875
ura3,ura3A,9541.121,23.8528025,526.05133,26.3025665
ura3,ura3A,5551.367,13.8784175,271.53268,13.576634
ura3,ura3A,3280.1094,8.2002735,200.50436,10.025218
ura3,ura3A,2131.625,5.3290625,125.39936,6.269968
ura3,ura3A,3895.8438,9.7396095,217.91054,10.895527
ura3,ura3A,3194.8281,7.98707025,270.00742,13.500371
