Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3A,974.47656,2.4361914,61.741398,3.0870699
ura3,ura3A,1252.7656,3.131914,76.55064,3.827532
ura3,ura3A,1550.7188,3.876797,69.31811,3.4659055
ura3,ura3A,5528.4062,13.8210155,328.82367,16.4411835
ura3,ura3A,5322.5527,13.30638175,287.17416,14.358708
ura3,ura3A,1242.6914,3.1067285,104.66136,5.233068
ura3,ura3A,2027.3711,5.06842775,125.23977,6.2619885
ura3,ura3A,6739.5254,16.8488135,408.03064,20.401532
ura3,ura3A,2080.6953,5.20173825,88.29496,4.414748
ura3,ura3A,2026.2676,5.065669,72.615425,3.63077125
ura3,ura3A,1394.5762,3.4864405,82.036575,4.10182875
ura3,ura3A,1879.9375,4.69984375,103.85567,5.1927835
ura3,ura3A,2414.2188,6.035547,132.84953,6.6424765
ura3,ura3A,2616.1562,6.5403905,149.93999,7.4969995
ura3,ura3A,1446.7422,3.6168555,73.82411,3.6912055
ura3,ura3A,992.0781,2.48019525,59.682495,2.98412475
ura3,ura3A,6974.2812,17.435703,431.01855,21.5509275
ura3,ura3A,1188.0625,2.97015625,56.302753,2.81513765
ura3,ura3A,1461.0781,3.65269525,80.21222,4.010611
ura3,ura3A,1916.0938,4.7902345,88.02273,4.4011365
ura3,ura3A,2817.6562,7.0441405,167.86304,8.393152
ura3,ura3A,5023.8203,12.55955075,360.83514,18.041757
ura3,ura3A,5215.555,13.0388875,281.61853,14.0809265
ura3,ura3A,2839.9375,7.09984375,144.42299,7.2211495
ura3,ura3A,3766.4531,9.41613275,208.73428,10.436714
ura3,ura3A,1649.9062,4.1247655,99.56907,4.9784535
ura3,ura3A,1890.5234,4.7263085,74.431175,3.72155875
ura3,ura3A,1954.3828,4.885957,114.58621,5.7293105
ura3,ura3A,971.7578,2.4293945,57.31492,2.865746
ura3,ura3A,2344.7422,5.8618555,111.94642,5.597321
ura3,ura3A,2245.5,5.61375,148.44864,7.422432
ura3,ura3A,3662.5312,9.156328,218.80585,10.9402925
ura3,ura3A,1603.709,4.0092725,89.62701,4.4813505
ura3,ura3A,1423.1406,3.5578515,57.280014,2.8640007
ura3,ura3A,2465.878,6.164695,153.15352,7.657676
ura3,ura3A,1083.9375,2.70984375,60.60528,3.030264
ura3,ura3A,1173.2539,2.93313475,66.4003,3.320015
ura3,ura3A,1622.5703,4.05642575,115.43397,5.7716985
ura3,ura3A,1354.0547,3.38513675,83.57033,4.1785165
ura3,ura3A,5396.2656,13.490664,314.86505,15.7432525
ura3,ura3A,708.4121,1.77103025,60.207973,3.01039865
ura3,ura3A,1494.0625,3.73515625,66.61081,3.3305405
ura3,ura3A,1336.6406,3.3416015,71.70077,3.5850385
ura3,ura3A,1274.9062,3.1872655,76.843994,3.8421997
ura3,ura3A,1549.7812,3.874453,83.00603,4.1503015
ura3,ura3A,1541.6562,3.8541405,85.79627,4.2898135
ura3,ura3A,1758.4453,4.39611325,99.724625,4.98623125
ura3,ura3A,1799.4111,4.49852775,85.28775,4.2643875
ura3,ura3A,1878.4375,4.69609375,115.24756,5.762378
ura3,ura3A,1055.9062,2.6397655,56.32051,2.8160255
ura3,ura3A,6010.9688,15.027422,333.006,16.6503
ura3,ura3A,1508.8125,3.77203125,107.70329,5.3851645
ura3,ura3A,5631.7188,14.079297,357.0378,17.85189
ura3,ura3A,2333.875,5.8346875,154.30165,7.7150825
ura3,ura3A,1054.0273,2.63506825,63.348244,3.1674122
ura3,ura3A,1225.207,3.0630175,60,3
ura3,ura3A,2283.164,5.70791,147.73286,7.386643
ura3,ura3A,303.2246,0.7580615,34.234486,1.7117243
ura3,ura3A,1224.25,3.060625,62.177166,3.1088583
ura3,ura3A,1184.1328,2.960332,104.20173,5.2100865
ura3,ura3A,1803.0938,4.5077345,92.64988,4.632494
ura3,ura3A,1649.9141,4.12478525,107.96759,5.3983795
ura3,ura3A,4472.75,11.181875,306.96744,15.348372
ura3,ura3A,758.03906,1.89509765,40.5216,2.02608
ura3,ura3A,1601.375,4.0034375,70.40597,3.5202985
ura3,ura3A,1136.3125,2.84078125,45.79301,2.2896505
ura3,ura3A,959.15625,2.397890625,42.48529,2.1242645
ura3,ura3A,2041.2539,5.10313475,106.89247,5.3446235
ura3,ura3A,1238.168,3.09542,64.84597,3.2422985
ura3,ura3A,1687.1992,4.217998,94.371605,4.71858025
ura3,ura3A,1576.5781,3.94144525,70.76723,3.5383615
ura3,ura3A,780.3281,1.95082025,67.11929,3.3559645
ura3,ura3A,3554.3125,8.88578125,186.09676,9.304838
ura3,ura3A,2962.9688,7.407422,147.2481,7.362405
ura3,ura3A,1051.75,2.629375,59.5399,2.976995
ura3,ura3A,554.50195,1.386254875,65.21503,3.2607515
ura3,ura3A,7142.0137,17.85503425,415.80045,20.7900225
ura3,ura3A,3253.0703,8.13267575,188.52055,9.4260275
ura3,ura3A,2077.0156,5.192539,111.82576,5.591288
ura3,ura3A,295.8125,0.73953125,39.293766,1.9646883
ura3,ura3A,271.84375,0.679609375,27.018513,1.35092565
ura3,ura3A,773.1548,1.932887,44.64303,2.2321515
ura3,ura3A,2293.4375,5.73359375,142.20056,7.110028
ura3,ura3A,1095.4062,2.7385155,65.192024,3.2596012
ura3,ura3A,2250.625,5.6265625,128.47179,6.4235895
ura3,ura3A,722.5625,1.80640625,51.62364,2.581182
ura3,ura3B,1221.6646,3.0541615,54.571056,2.7285528
ura3,ura3B,1527.3047,3.81826175,78.23682,3.911841
ura3,ura3B,1438.959,3.5973975,89.050545,4.45252725
ura3,ura3B,1074.9531,2.68738275,54.405884,2.7202942
ura3,ura3B,1180.125,2.9503125,52.43091,2.6215455
ura3,ura3B,1904.6914,4.7617285,93.62158,4.681079
ura3,ura3B,1538.4785,3.84619625,50.289165,2.51445825
ura3,ura3B,2322.2734,5.8056835,121.75385,6.0876925
ura3,ura3B,1942.125,4.8553125,91.04944,4.552472
ura3,ura3B,1131.9357,2.82983925,77.175125,3.85875625
ura3,ura3B,1914.4766,4.7861915,94.26028,4.713014
ura3,ura3B,827.2344,2.068086,61.846584,3.0923292
ura3,ura3B,5210.7344,13.026836,258.26538,12.913269
ura3,ura3B,1183.1719,2.95792975,65.192024,3.2596012
ura3,ura3B,233.85938,0.58464845,24.186773,1.20933865
ura3,ura3B,5528.4375,13.82109375,298.81433,14.9407165
ura3,ura3B,784,1.96,53.935146,2.6967573
ura3,ura3B,867,2.1675,46.615448,2.3307724
ura3,ura3B,1213.0312,3.032578,52.49762,2.624881
ura3,ura3B,1460.4375,3.65109375,89.106674,4.4553337
ura3,ura3B,3957.664,9.89416,207.93268,10.396634
ura3,ura3B,997.3125,2.49328125,58.821766,2.9410883
ura3,ura3B,6509.9375,16.27484375,337.76917,16.8884585
ura3,ura3B,761.4375,1.90359375,54.708317,2.73541585
ura3,ura3B,1469.7422,3.6743555,92.7847,4.639235
ura3,ura3B,696.1992,1.740498,39.623226,1.9811613
ura3,ura3B,1078.3555,2.69588875,39.56008,1.978004
ura3,ura3B,2019.5166,5.0487915,94.54099,4.7270495
ura3,ura3B,1143.7988,2.859497,70.00714,3.500357
ura3,ura3B,1373.4375,3.43359375,75.026665,3.75133325
ura3,ura3B,238.15625,0.595390625,26.925823,1.34629115
ura3,ura3B,2230.6406,5.5766015,118.69709,5.9348545
ura3,ura3B,321.85742,0.80464355,40.804413,2.04022065
ura3,ura3B,3087.2344,7.718086,113.88591,5.6942955
ura3,ura3B,2641.375,6.6034375,72.780495,3.63902475
ura3,ura3B,2058.6328,5.146582,115.80155,5.7900775
ura3,ura3B,3366.3438,8.4158595,181.70581,9.0852905
ura3,ura3B,751.0781,1.87769525,40.16217,2.0081085
ura3,ura3B,1332.8125,3.33203125,74.84651,3.7423255
ura3,ura3B,2664.1875,6.66046875,132.96616,6.648308
ura3,ura3B,1739.8125,4.34953125,78.77182,3.938591
ura3,ura3B,2900.414,7.251035,139.21565,6.9607825
ura3,ura3B,1278.8828,3.197207,60.74537,3.0372685
ura3,ura3B,2099.0156,5.247539,128.082,6.4041
ura3,ura3B,8265.539,20.6638475,482.7691,24.138455
ura3,ura3B,973.28906,2.43322265,52.886673,2.64433365
ura3,ura3B,5986,14.965,332.32666,16.616333
ura3,ura3B,1717.5742,4.2939355,95.524864,4.7762432
ura3,ura3B,5512.1553,13.78038825,307.52722,15.376361
ura3,ura3B,1851.0938,4.6277345,128.082,6.4041
ura3,ura3B,1738.4844,4.346211,103.711136,5.1855568
ura3,ura3B,1563.0859,3.90771475,50.803543,2.54017715
ura3,ura3B,1585.8281,3.96457025,73.756355,3.68781775
ura3,ura3B,1526.875,3.8171875,63.56886,3.178443
ura3,ura3B,1419.9688,3.549922,66.85058,3.342529
ura3,ura3B,156.75,0.391875,21.095022,1.0547511
ura3,ura3B,3289.3438,8.2233595,169.1863,8.459315
ura3,ura3B,1953.0156,4.882539,111.5213,5.576065
ura3,ura3B,881.6406,2.2041015,48.010414,2.4005207
ura3,ura3B,1733.5312,4.333828,74.30343,3.7151715
ura3,ura3B,1153.793,2.8844825,56.603886,2.8301943
