Probe Name,Sample,Condition,Category,Strain,Replicate,Run,VNG0194H,VNG0195H,VNG1065C,csg,dpsA,ftsZ1,ftsZ2,ftsZ3,ftsZ4,ftsZ5,hpyA,mc1,minD1,minD2,sojA,sojB,sojC1,sojC2,sojD,sojE,coxA2,eif1a2,mrp
20190206_Darnell5_CD12_01.RCC,CD12,OD0.2,1,ura3,D,Run05,151141.05,2883.75,355.27,379211.31,132288.2,8565.47,181028.34,1113.17,3299.83,12485.57,6273.83,19071.15,746.38,379.59,31639.94,19382.88,293.18,42.89,1965.81,569.07,23966.8,47066.87,5695.16
20190205_Darnell4_CD89_11.RCC,CD89,OD0.2,1,ura3,E,Run04,103502.6,2781.27,625.7,317515.59,74398,9461.24,120281.86,978.2,2599.73,9803.17,3729.51,9531.74,800.19,141,27601.16,16335.09,385.99,7.22,1388.87,699.72,24500.88,26141.79,4748.25
20190208_Darnell7_CD90_10.RCC,CD90,OD0.2,1,ura3,F,Run07,159511.8,3444.48,482,349612.34,100326.05,12520.06,199163.53,1270.49,2736.44,10901.87,5105.89,16470.48,866.94,282.55,42505.85,19885.71,505.93,33.13,2638.04,779.18,28727.27,28942.67,5108.55
20190204_Darnell3_CD91_05.RCC,CD91,OD0.2,1,ura3,G,Run03,138495.52,3215.97,570.09,320406.97,75346.8,10724.3,164230.23,1143.66,2369.15,10811.68,5102.42,13642.04,808.67,229.56,36318.21,16523.72,500.05,24.13,2358.06,712.27,24923.95,28204.42,4332.58
20190208_Darnell7_CD92_01.RCC,CD92,OD0.2,1,ura3,H,Run07,151485.47,2933.38,516.55,320919.59,97851.12,12357.56,183678.75,1439.95,2465.34,11188.84,4780.18,15780.48,794.4,240.36,42442.74,18866.57,481.82,40.24,2437.77,666.5,27565.26,28145.21,4925.16
20190206_Darnell5_CD31_12.RCC,CD31,OD0.7,2,cdrL,A,Run05,205189.97,46.64,461.4,738196.5,354534.66,6903.29,240423.69,944.22,3450.38,16708.57,5018.62,44305.32,1288.38,456.35,41781.52,27171.92,486.61,79.42,1371.58,949.26,19231.12,45165.09,8204.27
20190204_Darnell3_CD26_10.RCC,CD26,OD0.7,2,cdrL,B,Run03,316827.91,76.89,494.32,1018675.56,400132.28,9257.57,362764.22,1480.22,4556.01,17564.93,5039.35,55196.62,1774.07,686.56,62844.89,24911.12,708.53,18.34,1414.31,930.97,19707,41138.64,7777.34
20190208_Darnell7_CD33_07.RCC,CD33,OD0.7,2,ura3,D,Run07,223246.33,4346.14,487.53,1106043.12,423840.41,7439.76,245452.64,1030.55,4280.74,15093.56,5802.78,51035.89,1476.46,822.46,36988.73,27551.29,669.86,103.05,1486.37,600.49,15880.34,51763.21,6613.34
20190205_Darnell4_CD27_09.RCC,CD27,OD0.7,2,cdrS,A,Run04,32.16,4985.53,500.85,783735,397023.06,7820.62,185516.98,1038.46,4663.89,14671.71,4029.78,58149.24,1769.06,459.5,15926.14,30262.42,643.29,41.35,992.51,1424.44,22166.09,36098.02,8656.91
20190206_Darnell5_CD29_04.RCC,CD29,OD0.7,2,cdrS,C,Run05,19.34,5261.54,483.17,991237.12,378077.41,7121.99,152467.59,880.36,4035.56,14395.28,6750.58,52677.25,1698.82,727.33,15363.34,30124.87,742.8,89.41,1898.28,1109.05,18298.45,45328.3,7526.06
20190212_Darnell8_CD30_03.RCC,CD30,OD0.7,2,cdrS,D,Run08,117.82,4974.7,510.56,1074194.25,427880.72,6026.37,123317.95,857.48,3565.2,10562.5,6063.46,62698.64,1662.6,794.21,14629.54,24683.66,619.66,109.09,1213.13,833.48,15698.66,50000.07,6499.83
