Strain,Label,Area_px,Area_micron,Length_px,Length_micron
cdrS,cdrSA,3407.2773,8.51819325,194.62015,9.7310075
cdrS,cdrSA,10814.031,27.0350775,533.32355,26.6661775
cdrS,cdrSA,8333.195,20.8329875,464.15515,23.2077575
cdrS,cdrSA,2471.6113,6.17902825,144.03125,7.2015625
cdrS,cdrSA,2143.002,5.357505,104.316826,5.2158413
cdrS,cdrSA,1621.0156,4.052539,85.70297,4.2851485
cdrS,cdrSA,5880.3984,14.700996,358.23038,17.911519
cdrS,cdrSA,1835.4375,4.58859375,100.6479,5.032395
cdrS,cdrSA,2188.125,5.4703125,132.00378,6.600189
cdrS,cdrSA,2196.6875,5.49171875,113.600174,5.6800087
cdrS,cdrSA,2021.2598,5.0531495,77.41447,3.8707235
cdrS,cdrSA,279.14453,0.697861325,23.409399,1.17046995
cdrS,cdrSA,2918.0078,7.2950195,144.41953,7.2209765
cdrS,cdrSA,3685.5625,9.21390625,236.0445,11.802225
cdrS,cdrSA,7675.633,19.1890825,413.32312,20.666156
cdrS,cdrSA,2398.25,5.995625,154.54773,7.7273865
cdrS,cdrSA,4644.4375,11.61109375,312.386,15.6193
cdrS,cdrSA,3258.1016,8.145254,123.82246,6.191123
cdrS,cdrSA,14730.41,36.826025,762.71423,38.1357115
cdrS,cdrSA,1103.7812,2.759453,136.01471,6.8007355
cdrS,cdrSA,4092.2188,10.230547,246.10973,12.3054865
cdrS,cdrSA,1575.5,3.93875,82.46211,4.1231055
cdrS,cdrSA,6145.051,15.3626275,368.20917,18.4104585
cdrS,cdrSA,7940.5625,19.85140625,464.88278,23.244139
cdrS,cdrSA,1546.1484,3.865371,68.24954,3.412477
cdrS,cdrSA,2413.375,6.0334375,121.07848,6.053924
cdrS,cdrSA,1998.3145,4.99578625,98.4124,4.92062
cdrS,cdrSA,1478.1562,3.6953905,85.98256,4.299128
cdrS,cdrSA,1648.25,4.120625,132.54811,6.6274055
cdrS,cdrSA,1273.9766,3.1849415,93.0215,4.651075
cdrS,cdrSA,12393.883,30.9847075,494.55637,24.7278185
cdrS,cdrSA,3831.8438,9.5796095,209.15306,10.457653
cdrS,cdrSA,3440.4062,8.6010155,201.22127,10.0610635
cdrS,cdrSA,2327.8203,5.81955075,130.78226,6.539113
cdrS,cdrSA,5016.6875,12.54171875,171.18703,8.5593515
cdrS,cdrSA,9335.141,23.3378525,507.87103,25.3935515
cdrS,cdrSA,1595.2031,3.98800775,145.08618,7.254309
cdrS,cdrSA,10021.309,25.0532725,621.7524,31.08762
cdrS,cdrSA,2055.1719,5.13792975,118.258194,5.9129097
cdrS,cdrSA,4041.1719,10.10292975,107.70329,5.3851645
cdrS,cdrSA,2247.8125,5.61953125,94.93682,4.746841
cdrS,cdrSA,11677.582,29.193955,608.0428,30.40214
cdrS,cdrSA,1166.6328,2.916582,52.63079,2.6315395
cdrS,cdrSA,1807.2266,4.5180665,105.53672,5.276836
cdrS,cdrSA,2907.4062,7.2685155,154.98387,7.7491935
cdrS,cdrSA,2159.039,5.3975975,123.47064,6.173532
cdrS,cdrSA,1223.5781,3.05894525,72.235725,3.61178625
cdrS,cdrSA,11589,28.9725,663.8441,33.192205
cdrS,cdrSA,10977.537,27.4438425,332.33868,16.616934
cdrS,cdrSA,11485.805,28.7145125,558.1756,27.90878
cdrS,cdrSA,1037.0625,2.59265625,64.899925,3.24499625
cdrS,cdrSA,1470.4475,3.67611875,86.37129,4.3185645
cdrS,cdrSA,2672.625,6.6815625,152.84633,7.6423165
cdrS,cdrSA,11331.559,28.3288975,512.91327,25.6456635
cdrS,cdrSA,2078.0977,5.19524425,111.21151,5.5605755
cdrS,cdrSA,3720.1797,9.30044925,146.08559,7.3042795
cdrS,cdrSA,3212.6719,8.03167975,129.83836,6.491918
cdrS,cdrSA,4419.3047,11.04826175,243.2879,12.164395
cdrS,cdrSA,2228.7578,5.5718945,121.45781,6.0728905
cdrS,cdrSA,1165.2969,2.91324225,57.706154,2.8853077
cdrS,cdrSA,3260.25,8.150625,199.09044,9.954522
cdrS,cdrSA,1368.875,3.4221875,93.04838,4.652419
cdrS,cdrSA,3208.5537,8.02138425,190.7092,9.53546
cdrS,cdrSA,6853.5,17.13375,384.10547,19.2052735
cdrS,cdrSA,6784.8535,16.96213375,389.99103,19.4995515
cdrS,cdrSA,3344.5312,8.361328,195.43797,9.7718985
cdrS,cdrSA,11005.984,27.51496,573.9146,28.69573
cdrS,cdrSA,2145.5117,5.36377925,143.60014,7.180007
cdrS,cdrSA,700.3672,1.750918,36.687874,1.8343937
cdrS,cdrSA,6098.9336,15.247334,305.36044,15.268022
cdrS,cdrSA,10224.797,25.5619925,585.49554,29.274777
cdrS,cdrSA,4272.785,10.6819625,276.06702,13.803351
cdrS,cdrSA,5743.492,14.35873,301.38513,15.0692565
cdrS,cdrSA,2595.0312,6.487578,145.6022,7.28011
cdrS,cdrSA,4087.1094,10.2177735,263.37045,13.1685225
cdrS,cdrSA,5388.9307,13.47232675,313.19324,15.659662
cdrS,cdrSA,1611.0625,4.02765625,90.0944,4.50472
cdrS,cdrSA,9958.604,24.89651,495.22723,24.7613615
cdrS,cdrSA,9039.3125,22.59828125,468.13885,23.4069425
cdrS,cdrSA,4496.8477,11.24211925,259.30676,12.965338
cdrS,cdrSA,4990.703,12.4767575,294.96103,14.7480515
cdrS,cdrSA,6567.578,16.418945,397.7562,19.88781
cdrS,cdrSA,10381.623,25.9540575,466.62192,23.331096
cdrS,cdrSA,2311.1406,5.7778515,138.29317,6.9146585
cdrS,cdrSA,1472.75,3.681875,135.41788,6.770894
cdrS,cdrSA,11725.883,29.3147075,495.4079,24.770395
cdrS,cdrSA,6271.25,15.678125,294.70663,14.7353315
cdrS,cdrSA,2602.0366,6.5050915,134.71823,6.7359115
cdrS,cdrSA,3401.1406,8.5028515,250.71098,12.535549
cdrS,cdrSA,8775.996,21.93999,469.23343,23.4616715
cdrS,cdrSA,5752.1094,14.3802735,351.9503,17.597515
cdrS,cdrSA,1392.375,3.4809375,95.015785,4.75078925
cdrS,cdrSA,456.8047,1.14201175,34.43835,1.7219175
cdrS,cdrSA,328.60938,0.82152345,27.658634,1.3829317
cdrS,cdrSA,6204.8086,15.5120215,287.07663,14.3538315
cdrS,cdrSA,7263.0938,18.1577345,407.82596,20.391298
cdrS,cdrSA,7363.8984,18.409746,350.65225,17.5326125
cdrS,cdrSA,4595.703,11.4892575,145.45447,7.2727235
cdrS,cdrSA,1068.7422,2.6718555,93.914856,4.6957428
cdrS,cdrSA,1924.3594,4.8108985,75.21303,3.7606515
cdrS,cdrSA,12880.477,32.2011925,650.323,32.51615
cdrS,cdrSB,1559.7812,3.899453,86.833176,4.3416588
cdrS,cdrSB,1201.1016,3.002754,64.53681,3.2268405
cdrS,cdrSB,9716.906,24.292265,441.1995,22.059975
cdrS,cdrSB,6800.258,17.000645,339.61154,16.980577
cdrS,cdrSB,2586.8828,6.467207,104.89042,5.244521
cdrS,cdrSB,2201.7188,5.504297,140.24622,7.012311
cdrS,cdrSB,5169.5,12.92375,197.08374,9.854187
cdrS,cdrSB,6010.922,15.027305,279.30807,13.9654035
cdrS,cdrSB,1264.6133,3.16153325,79.630394,3.9815197
cdrS,cdrSB,9299.066,23.247665,484.59982,24.229991
cdrS,cdrSB,4979.1406,12.4478515,253.50345,12.6751725
cdrS,cdrSB,4797.578,11.993945,307.00162,15.350081
cdrS,cdrSB,3535.3564,8.838391,118.12705,5.9063525
cdrS,cdrSB,2430.125,6.0753125,135.94484,6.797242
cdrS,cdrSB,9487.719,23.7192975,475.33673,23.7668365
cdrS,cdrSB,2150.6562,5.3766405,143.13629,7.1568145
cdrS,cdrSB,11251.156,28.12789,635.4368,31.77184
cdrS,cdrSB,4064.5215,10.16130375,231.6247,11.581235
cdrS,cdrSB,3497.4062,8.7435155,169.49927,8.4749635
cdrS,cdrSB,7086.707,17.7167675,368.17657,18.4088285
cdrS,cdrSB,994.3125,2.48578125,95.189285,4.75946425
cdrS,cdrSB,4349.4688,10.873672,177.36967,8.8684835
cdrS,cdrSB,3908.2266,9.7705665,213.21585,10.6607925
