area,m.d
11.90,cdrS.m
11.44,cdrS.m
19.12,cdrS.m
11.29,cdrS.m
11.73,cdrS.m
57.50,cdrS.m
53.17,cdrS.m
29.24,cdrS.m
42.60,cdrS.m
65.65,cdrS.m
21.70,cdrS.m
18.50,cdrS.m
49.49,cdrS.m
38.48,cdrS.m
55.57,cdrS.m
17.62,cdrS.m
42.15,cdrS.m
39.13,cdrS.m
10.12,cdrS.m
30.95,cdrS.m
9.38,cdrS.m
7.22,cdrS.m
10.48,cdrS.m
23.69,cdrS.m
8.66,cdrS.m
28.66,cdrS.m
12.42,cdrS.m
9.35,cdrS.m
7.64,cdrS.m
