Experiment,Strain,Replicate,Time,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170606,EV,A,,1206.6016,0.20887695,129.2749,21.45069511,17.23665333
20170606,EV,B,,364.9823,0.7692337,27.802877,6.488574222,3.707050267
20170606,EV,B,,429.42334,0.94800377,26.076809,7.634192711,3.476907867
20170606,EV,B,,321.01562,0.9803015,22.472204,5.706944356,2.996293867
20170606,EV,B,,239.0039,0.9802664,19.416489,4.248958222,2.5888652
20170606,EV,B,,351.57617,0.9653678,24.738634,6.250243022,3.298484533
20170606,EV,B,,338.42383,0.97405744,23.259407,6.016423644,3.101254267
20170606,EV,B,,472.91406,0.92688215,30.016663,8.407361067,4.002221733
20170606,EV,B,,475.83984,0.9543849,28.01785,8.459374933,3.735713333
20170606,EV,B,,320.1797,0.9730634,23.409399,5.692083556,3.1212532
20170606,EV,B,,342.17188,0.93628305,23.43075,6.083055644,3.1241
20170606,EV,B,,231.53125,0.97624844,19.723083,4.116111111,2.6297444
20170606,EV,B,,290.33594,0.9530603,22.203604,5.161527822,2.960480533
20170606,EV,B,,332.89062,0.96489537,22.203604,5.918055467,2.960480533
20170606,EV,B,,237.4375,0.84493536,21.470911,4.221111111,2.862788133
20170606,EV,B,,333.28125,0.9935149,22.135944,5.925,2.9514592
20170606,EV,B,,335.04688,0.77622074,31.016125,5.956388978,4.135483333
20170606,EV,B,,394.5586,0.98681307,24.5153,7.014375111,3.268706667
20170606,EV,B,,537.8457,0.9011472,33.526108,9.561701333,4.470147733
20170606,EV,B,,376.84375,0.9951955,23.086792,6.699444444,3.078238933
20170606,EV,B,,312.4375,0.9926385,21.633308,5.554444444,2.884441067
20170606,EV,B,,289.5703,0.97596127,22.022715,5.147916444,2.936362
20170606,EV,B,,196.96875,0.98859495,17.20465,3.501666667,2.293953333
20170606,EV,B,,263.1875,0.8084913,21.023796,4.678888889,2.8031728
20170606,EV,B,,222.99219,0.97930783,18.867962,3.9643056,2.515728267
20170606,EV,B,,553.21875,0.9691229,30.232433,9.835,4.030991067
20170606,EV,B,,339.6328,0.9262606,25.553865,6.037916444,3.407182
20170606,EV,B,,768.15625,0.873567,40.792156,13.65611111,5.438954133
20170606,EV,B,,355.84375,0.9820074,22.825424,6.326111111,3.043389867
20170606,EV,B,,633.78125,0.8849287,33.83785,11.26722222,4.511713333
20170606,EV,B,,280.23438,0.968759,20.615528,4.981944533,2.748737067
20170606,EV,B,,193.60938,0.9915085,17.20465,3.441944533,2.293953333
20170606,EV,B,,358.18842,0.982818,24.04163,6.367794133,3.205550667
20170606,EV,B,,262.70258,0.97545475,20.808653,4.670268089,2.774487067
20170606,EV,B,,306.21677,0.94651073,23.853722,5.443853689,3.180496267
20170606,EV,B,,209.99902,0.96771604,19.313208,3.733315911,2.5750944
20170606,EV,B,,529.3213,0.85350156,35.846897,9.410156444,4.779586267
20170606,EV,B,,343.20312,0.9763867,24.04163,6.1013888,3.205550667
20170606,EV,B,,187.0625,0.993603,16.492422,3.325555556,2.1989896
20170606,EV,B,,251.1914,0.98532695,19.723083,4.465624889,2.6297444
20170606,EV,B,,284.50977,0.9877778,20.615528,5.057951467,2.748737067
20170606,EV,B,,407.33447,0.95074934,27.202942,7.241501689,3.627058933
20170606,EV,B,,256.96484,0.90137315,24.04163,4.568263822,3.205550667
20170606,EV,B,,559.47656,0.5104753,45.343136,9.946249956,6.045751467
20170606,EV,B,,344.23047,0.95803225,25.298222,6.1196528,3.373096267
20170606,EV,B,,490.28125,0.90146816,31.890438,8.716111111,4.2520584
20170606,EV,B,,407.30676,0.92761844,27.856777,7.241009067,3.714236933
20170606,EV,B,,230.6836,0.9899034,18.439089,4.101041778,2.4585452
20170606,EV,B,,531.2578,0.9329934,31.38471,9.444583111,4.184628
20170606,EV,B,,336.1875,0.9438095,25.632011,5.976666667,3.417601467
20170606,EV,B,,334.6953,0.95028037,24.186773,5.950138667,3.224903067
20170606,EV,B,,318.32812,0.9317548,24.186773,5.659166578,3.224903067
20170606,EV,B,,603.0469,0.9490522,32.449963,10.72083378,4.326661733
20170606,EV,B,,326.95312,0.9277133,24.04163,5.812499911,3.205550667
20170606,EV,B,,380.9375,0.98009574,23.769728,6.772222222,3.169297067
20170606,EV,B,,245.89648,0.96645606,20.396078,4.371492978,2.719477067
20170606,EV,B,,497.4414,0.9729158,28.01785,8.843402667,3.735713333
20170606,EV,B,,440.4453,0.98087853,26.57066,7.830138667,3.542754667
20170606,EV,B,,451.6797,0.98272395,26.907248,8.029861333,3.587633067
20170606,EV,B,,455.55078,0.95819145,27.89265,8.098680533,3.71902
20170606,EV,B,,601.4883,0.9124008,34.539833,10.69312533,4.605311067
20170606,EV,B,,406.41797,0.89951646,29.15476,7.225208356,3.887301333
20170606,EV,B,,614.46875,0.61585724,46.818798,10.92388889,6.2425064
20170606,EV,B,,354.4375,0.95004344,25.612497,6.301111111,3.4149996
20170606,EV,B,,292.70312,0.9809439,21.470911,5.203611022,2.862788133
20170606,EV,B,,344.4922,0.9885792,23.345236,6.124305778,3.112698133
20170606,EV,B,,420.75,0.77384263,35.341194,7.48,4.7121592
20170606,EV,B,,333.64062,0.97836465,22.803509,5.9313888,3.040467867
20170606,EV,B,,378.20312,0.9543134,25.806976,6.723611022,3.440930133
20170606,EV,B,,776.1094,0.92840743,38.078865,13.79750044,5.077182
20170606,EV,B,,275.5078,0.9644217,21.587032,4.897916444,2.878270933
20170606,EV,B,,455.4375,0.98275715,27.018513,8.096666667,3.6024684
20170606,EV,B,,305.09375,0.94229233,24.186773,5.423888889,3.224903067
20170606,EV,B,,415.10938,0.97473186,25.632011,7.379722311,3.417601467
20170606,EV,B,,305.8125,0.974527,22.472204,5.436666667,2.996293867
20170606,EV,B,,392.65625,0.9153818,28.01785,6.980555556,3.735713333
20170606,EV,B,,273.625,0.98376966,19.723083,4.864444444,2.6297444
20170606,EV,B,,269.77344,0.9374213,22.561028,4.795972267,3.008137067
20170606,EV,B,,275.84375,0.920433,23.086792,4.903888889,3.078238933
20170606,EV,B,,241.91016,0.9516283,21.095022,4.300625067,2.8126696
20170606,EV,B,,251.04297,0.95972145,21.260292,4.462986133,2.8347056
20170606,EV,B,,183.28125,0.9838227,17.029387,3.258333333,2.270584933
20170606,EV,B,,768.25,0.920022,37.48333,13.65777778,4.997777333
20170606,EV,B,,501.59375,0.9539103,28.231188,8.917222222,3.7641584
20170606,EV,B,,435.82812,0.945416,28.635643,7.748055467,3.818085733
20170606,EV,B,,281.57812,0.96288896,21.84033,5.005833244,2.912044
20170606,EV,B,,298.70312,0.94856876,23.259407,5.310277689,3.101254267
20170606,EV,B,,286.45703,0.96082205,22.671568,5.092569422,3.022875733
20170606,EV,B,,252.2461,0.9899794,19.313208,4.484375111,2.5750944
20170606,EV,B,,352.03125,0.96317416,23.086792,6.258333333,3.078238933
20170606,EV,B,,336.84375,0.95814383,23.600847,5.988333333,3.1467796
20170606,EV,B,,376.96875,0.9779434,24.738634,6.701666667,3.298484533
20170606,EV,B,,240.51562,0.9615891,20.615528,4.275833244,2.748737067
